Date,City,Actual_PM25,Forecast_PM25
2023-05-25,Edmonton,27.45833333,10.580983431069882
2023-05-26,Edmonton,20.83333333,10.325179857443832
2023-05-27,Edmonton,20.16666667,11.66286571115312
2023-05-28,Edmonton,23.91666667,10.837983023377422
2023-05-29,Edmonton,8.583333333,10.230719465861409
2023-05-30,Edmonton,8.458333333,10.438993356100706
2023-05-31,Edmonton,23.0,10.243395631161404
2023-06-01,Edmonton,7.833333333,10.60053878154167
2023-06-02,Edmonton,20.5,10.344735207981783
2023-06-03,Edmonton,21.25,11.68242106163482
2023-06-04,Edmonton,10.79166667,10.85753837390694
2023-06-05,Edmonton,6.791666667,10.250274816350274
2023-06-06,Edmonton,13.4,10.458548706624134
2023-06-07,Edmonton,8.5,10.262950981655449
2023-06-08,Edmonton,34.66666667,10.620094132060695
2023-06-09,Edmonton,52.20833333,10.36429055847957
2023-06-10,Edmonton,36.16666667,11.701976412150664
2023-06-11,Edmonton,31.41666667,10.877093724407437
2023-06-12,Edmonton,45.75,10.26983016686382
2023-06-13,Edmonton,26.875,10.478104057126586
2023-06-14,Edmonton,41.0,10.282506332167332
2023-06-15,Edmonton,23.83333333,10.63964948256456
2023-06-16,Edmonton,31.25,10.383845908990251
2023-06-17,Edmonton,3.416666667,11.721531762655548
2023-06-18,Edmonton,8.125,10.896649074917248
2023-06-19,Edmonton,11.5,10.289385517369439
2023-06-20,Edmonton,3.083333333,10.497659407635766
2023-06-21,Edmonton,3.375,10.302061682673484
2023-06-22,Edmonton,5.125,10.659204833073286
2023-06-23,Edmonton,11.29166667,10.403401259496789
2023-06-24,Edmonton,12.41666667,11.741087113163946
2023-06-25,Edmonton,14.25,10.916204425424066
2023-06-26,Edmonton,12.7826087,10.308940867877604
2023-06-27,Edmonton,23.83333333,10.517214758142789
2023-06-28,Edmonton,24.05,10.321617033181479
2023-06-29,Edmonton,15.29166667,10.678760183580454
2023-06-30,Edmonton,10.25,10.422956610004661
2023-07-01,Edmonton,4.458333333,11.760642463671221
2023-07-02,Edmonton,23.29166667,10.935759775931848
2023-07-03,Edmonton,11.95833333,10.328496218384952
2023-07-04,Edmonton,8.0,10.536770108650504
2023-07-05,Edmonton,10.58333333,10.341172383688882
2023-07-06,Edmonton,30.70833333,10.698315534088122
2023-07-07,Edmonton,27.375,10.442511960512103
2023-07-08,Edmonton,32.5,11.780197814178855
2023-07-09,Edmonton,43.5,10.955315126439318
2023-07-10,Edmonton,18.70833333,10.348051568892563
2023-07-11,Edmonton,5.625,10.556325459157996
2023-07-12,Edmonton,50.75,10.360727734196475
2023-07-13,Edmonton,54.08333333,10.71787088459563
